,providerListingId,statusText,price,address,beds,baths,availabilityDate
0,11w3zvtcph0be,Apartment for rent,"$1,559/mo","Bella Casa Apartments, 5501 Conroy Rd APT 2, Orlando, FL 32811",2.0,1.5,2022-08-12 00:00:00
1,3k29nqs8s2g8,Apartment for rent,"$1,799/mo","Bella Vita Apartments, 4700 Cason Cove Dr #2, Orlando, FL 32811",2.0,2.0,2022-07-15 00:00:00
2,3q4jqbce0u1yw,Apartment for rent,"$1,579+/mo","Conway Forest, 2520 S Conway Rd, Orlando, FL 32812",2.0,1.0,
3,2ku6mch0x1d7d,Apartment for rent,"$1,669/mo","Coconut Palms, 4618 Middlebrook Rd #2-1, Orlando, FL 32811",2.0,1.0,2022-06-24 00:00:00
4,19mfzgqe2tuty,Harbor Beach,,"5757 Five Flags Blvd, Orlando, FL",,,
5,59vsreb9qscdz,Apartment for rent,"$1,739/mo","Aria Beach Apartments, 3211 S Semoran Blvd #2, Orlando, FL 32822",2.0,1.5,2022-07-01 00:00:00
6,3uggj8sen7b8u,The Woodlands Apartments,,"604 Laurel Cove Ct, Orlando, FL",,,
7,34kcj0rh3157n,Apartment for rent,"$1,579/mo","Bellagio, 3312 S Semoran Blvd #2, Orlando, FL 32822",2.0,2.0,2022-06-10 00:00:00
8,3bfyjjs1z0rk5,Brooke Commons,,"10237 Eastern Lake Ave, Orlando, FL",,,
9,1d8peyqkw4d7p,House for rent,"$1,595/mo","5642 Westview Dr, Orlando, FL 32810",3.0,2.0,2022-06-06 00:00:00
10,304skuu4jfvwy,House for rent,"$1,799/mo","1627 29th St, Orlando, FL 32805",3.0,2.0,2022-06-28 00:00:00
11,3gzm020eqzys5,Apartment for rent,"$1,725/mo","4963 Ava Pointe Dr #1-5, Orlando, FL 32822",2.0,2.0,2022-05-16 00:00:00
12,2ncaezh7pmw5p,Apartment for rent,"$1,795/mo","827 Lowell Blvd, Orlando, FL 32803",2.0,2.0,2022-05-27 00:00:00
13,2qx66xd8m8why,Apartment for rent,"$1,650/mo","828 Laurel Ave APT 1, Orlando, FL 32803",2.0,1.0,2022-06-06 00:00:00
14,46aj61pubj1mw,Apartment for rent,"$1,700/mo","7552 Golden Glenn Dr, Orlando, FL 32807",2.0,2.0,2022-06-15 00:00:00
15,190v7uhk87yg2,House for rent,"$1,790/mo","5329 Old Oak Tree Dr, Orlando, FL 32808",3.0,2.0,
16,3atd9ekk1z1w1,Apartment for rent,"$1,445/mo","2 bed, 850 sqft, $1,445, 3325 N Westmoreland Dr APT 3, Orlando, FL 32804",2.0,1.0,
17,3z58wsuc2y9u7,House for rent,"$1,150/mo","1022 24th St, Orlando, FL 32805",3.0,1.0,2022-05-25 00:00:00
18,3zt8y2cfevzu1,House for rent,"$1,663/mo","14509 Daring Ave, Orlando, FL 32826",4.0,2.0,2022-06-01 00:00:00
19,3g2pkedar8ewm,House for rent,"$1,780/mo","1034 Clovercrest Rd, Orlando, FL 32811",2.0,2.0,
20,1f569c3ye1ukd,House for rent,"$1,400/mo","11151 Iron Bridge Rd, Orlando, FL 32837",3.0,2.0,2022-06-01 00:00:00
21,4wry2n1dss9pm,House for rent,"$1,795/mo","5819 W Amelia St, Orlando, FL 32835",3.0,2.0,
22,8jexbb1x3k74,For Rent,,"1032 W Jefferson St, Orlando, FL",,,
23,4ykt4hxgm48qb,Apartment for rent,"$1,300/mo","28 S Ortman Dr #B, Orlando, FL 32811",2.0,1.5,2022-05-25 00:00:00
24,1jspdtbzwme4z,Condo for rent,"$1,750/mo","5168 Conroy Rd #28, Orlando, FL 32811",2.0,1.0,
25,2xv900vbrvje,Apartment for rent,"$1,445/mo","The Carl, 3323 N Westmoreland Dr #NWEST3325-, Orlando, FL 32804",2.0,1.0,
26,577yc3fmcy7ac,Apartment for rent,"$1,500/mo","9815 Barley Club Dr APT 4, Orlando, FL 32837",2.0,2.0,2022-07-11 00:00:00
27,985c06x0w11c,Apartment for rent,"$1,500/mo","9942 Turf Way APT 8, Orlando, FL 32837",2.0,2.0,2022-07-14 00:00:00
28,5dt4yqfm5vf3u,House for rent,"$1,650/mo","804 N Thornton Ave, Orlando, FL 32803",2.0,1.0,
29,37z6prqmmdpcv,Apartment for rent,"$1,470+/mo","Lake Ivanhoe Shores, 1730 Gurtler Ct, Orlando, FL 32804",2.0,1.5,
0,1mxg2yupkf71q,Apartment for rent,"$1,745/mo","1945 Grand Oak Dr, Kissimmee, FL 34744",2.0,2.0,2022-05-17 00:00:00
1,qk01fs7d8g3g,Apartment for rent,"$1,645/mo","1955 Grand Oak Dr, Kissimmee, FL 34744",2.0,2.0,2022-05-17 00:00:00
2,4e6cjyhrcvb3v,House for rent,"$1,800/mo","4401 White Oak Cir, Kissimmee, FL 34746",3.0,2.0,2022-05-02 00:00:00
0,31ka7keq5efca,House for rent,"$1,695/mo","833 Blanc Ct, Kissimmee, FL 34759",3.0,2.0,
1,38v1zvcy0neu4,House for rent,"$1,795/mo","1204 Atlantic Ct, Poinciana, FL 34759",4.0,2.0,
2,vxnt1x6tkqjn,House for rent,"$1,775/mo","610 Heraldo Ct, Kissimmee, FL 34758",3.0,2.0,
3,43qfjfdqdpjb3,House for rent,"$1,600/mo","321 Caldbeck Way, Kissimmee, FL 34758",3.0,2.0,2022-06-10 00:00:00
0,53gw0519vb2rp,Apartment for rent,"$1,789/mo","Sapphire Winter Park Apartments, 1743 Semoran North Cir #2-2O, Winter Park, FL 32792",2.0,2.0,2022-06-10 00:00:00
1,32bq93sktfpvm,Apartment for rent,"$1,719/mo","Azure Winter Park, 3650 Summer Wind Dr #2-P, Winter Park, FL 32792",2.0,2.0,2022-06-01 00:00:00
2,vxw33nyr9h7x,House for rent,"$1,200/mo","100 Stefanik Rd, Winter Park, FL 32792",2.0,1.5,
0,441w85sy4dv24,House for rent,"$1,775/mo","2611 Crest Dr, Haines City, FL 33844",3.0,2.0,2022-06-30 00:00:00
0,5g81cvvu4wftp,The Caroline,,"1906 Griffin Rd, Lakeland, FL",,,
1,3xdvyrhfmccut,Huntington at Sundance,,"300 Heartland Blvd, Mulberry, FL",,,
2,4bt3h7e6gvgc7,Apartment for rent,"$1,800/mo","Waters Edge, 3625 New Jersey Rd #10438153, Lakeland, FL 33803",2.0,2.0,
3,fdd41552cq0x,The Groves at Lake Juliana,,"935 Groves Blvd, Auburndale, FL",,,
4,42f0d33ksvudj,Apartment for rent,"$1,195/mo","613 Plateau Ave, Lakeland, FL 33815",2.0,1.0,
5,2zm00qqbek2q9,Townhouse for rent,$625/mo,"414 1/2 Miami St, 414 1/2 Miami St, Lake Wales, FL 33853",2.0,1.0,2022-05-24 00:00:00
6,5h1qc0ymvw2by,House for rent,$925/mo,"603 Dr J A Wiltshire Ave W, Lake Wales, FL 33853",2.0,1.0,
7,28b3dcdebqkh,House for rent,"$1,751/mo","830 White Birch Ln, Bartow, FL 33830",3.0,2.0,2022-06-23 00:00:00
8,1jzfj3bcae585,Apartment for rent,"$1,275/mo","1222 Taylor St UNIT 5, Auburndale, FL 33823",2.0,1.0,2022-06-01 00:00:00
